이름,카테고리,주소,위도,경도,전화번호,링크
로니로티 천호점,음식점>이탈리아음식,서울특별시 강동구 천호대로 1027 동원천호빌딩 2층,37.5381231,127.1263862,,https://blog.naver.com/lottiekun
버섯잔치집 본점,음식점>한식,서울특별시 강동구 성내로 52 성원빌딩(네비는 버섯잔치집),37.5283615,127.1257470,,https://blog.naver.com/mushroomcook
스윗솔트,"음식점>카페,디저트",서울특별시 강동구 상암로 286,37.5454883,127.1541474,,http://www.instagram.com/sweetsaltcafe
브랜뉴하이몬드,"카페,디저트>베이커리","서울특별시 강동구 천호옛14길 11 브랜뉴하이몬드 1, 2층",37.5363003,127.1261209,,https://smartstore.naver.com/brandnewhimont
스타벅스 강동구청DT점,"카페,디저트>카페",서울특별시 강동구 성내로 32 (성내동),37.5292537,127.1238440,,http://www.starbucks.co.kr/
이케아 강동점,"쇼핑,유통>가구",서울특별시 강동구 고덕비즈밸리로 51,37.5668520,127.1569410,,https://www.ikea.com/kr/ko/stores/gangdong/
스타벅스 명일이마트점,"카페,디저트>카페",서울특별시 강동구 동남로75길 5 (명일동) 명일이마트별관주차장,37.5541787,127.1561340,,http://www.starbucks.co.kr/
백세삼계탕 강동점,"한식>백숙,삼계탕",서울특별시 강동구 양재대로 1401,37.5313001,127.1370607,,
등갈비달인 본점,"한식>육류,고기요리",서울특별시 강동구 천호대로158길 25 1층,37.5362863,127.1263331,,https://www.facebook.com/emdrkfql/
대팔이네곱창 천호본점,"한식>곱창,막창,양",서울특별시 강동구 구천면로24길 20-9 1층,37.5398398,127.1254825,,https://instagram.com/tiger_sden
119닭발 천호 본점,한식>닭발,서울특별시 강동구 천중로 73,37.5449999,127.1301681,,https://blog.naver.com/119gram
미오정,음식점>일식>일식당,서울특별시 강동구 올림픽로70길 51-2 1층 미오정,37.5392743,127.1267405,,https://app.catchtable.co.kr/
119닭발 성내점,한식>닭발,서울특별시 강동구 양재대로87길 81 1층 119닭발 성내점,37.5264388,127.1305704,,https://blog.naver.com/119gram
연풍민락,술집>이자카야,서울특별시 강동구 천호대로157길 18 2층 연풍민락,37.5385014,127.1275006,,https://www.instagram.com/yeonpung_/
스시야미 천호본점,음식점>일식>일식당,서울특별시 강동구 진황도로 4-9 스시야미,37.5396644,127.1280397,,https://catchtable.co.kr/sushiyammy
스시현,술집>이자카야,서울특별시 강동구 천호대로158길 19 스시현,37.5365534,127.1263908,,https://m.place.naver.com/restaurant/1631355713
초밥의 신 부타 천호본점,"음식점>일식>초밥,롤",서울특별시 강동구 천호대로155길 11 1층,37.5385909,127.1260262,,https://www.instagram.com/butasushi/
수지상회 천호점,술집>요리주점,서울특별시 강동구 천호대로157길 22 2층,37.5386614,127.1274322,,https://www.instagram.com/suji__ch
길동우동 길동본점,"음식점>일식>우동,소바",서울특별시 강동구 천호대로 1135 1층,37.5345562,127.1376787,,https://blog.naver.com/gildongudong
오공김밥 상일점,음식점>분식,서울특별시 강동구 고덕로80길 99 B상가동 지1층 B102호,37.5532640,127.1681194,,https://www.50gimbab.co.kr
깨돌이김밥,분식>김밥,서울특별시 강동구 천호대로157길 54,37.5400702,127.1280290,,
무공돈까스 길동역점,음식점>일식>돈가스,서울특별시 강동구 양재대로 1471 1층 105호,37.5371669,127.1395729,,https://blog.naver.com/mugongfd
싸다김밥 암사역점,음식점>분식,서울특별시 강동구 올림픽로 787 1층 싸다김밥 암사역점,37.5516052,127.1278488,,https://ssadagb.com
파리바게뜨 굽은다리역점,"카페,디저트>베이커리",서울특별시 강동구 양재대로 1564 (명일동),37.5450969,127.1430050,,https://www.paris.co.kr/
테라로사 길동점,"카페,디저트>카페",서울특별시 강동구 천호대로 1221,37.5360495,127.1463729,,https://terarosa.com
뚜레쥬르 길동중앙점,"카페,디저트>베이커리",서울특별시 강동구 양재대로 1478,37.5377898,127.1402086,,http://www.tlj.co.kr/
온더브레드 강동,"음식점>카페,디저트","서울특별시 강동구 아리수로 55 2, 3층",37.5571761,127.1357307,,
꼼떼바베큐 둔촌본점,음식점>양식,서울특별시 강동구 동남로51길 9 1층,37.5329192,127.1496676,,https://www.instagram.com/commtte_official
브런치빈 명일점,음식점>양식>브런치,서울특별시 강동구 양재대로 1625 7층,37.5505741,127.1435139,,https://www.instagram.com/brunchbean_mi
맥도날드 수유점,양식>햄버거,서울특별시 강북구 도봉로 342,37.6379360,127.0259400,,https://www.mcdonalds.co.kr/
스시노칸도 수유점,"음식점>일식>초밥,롤",서울특별시 강북구 한천로139나길 1 3층,37.6390341,127.0253119,,https://www.instagram.com/sushinokando_suyu
버거킹 수유역점,양식>햄버거,서울특별시 강북구 도봉로 314 삼성화재 수유사옥 1층,37.6361427,127.0240314,,
맥도날드 서울번동DT점,양식>햄버거,서울특별시 강북구 월계로 191,37.6211878,127.0452758,,https://www.mcdonalds.co.kr/
맥도날드 미아DT점,양식>햄버거,서울특별시 강북구 삼양로 158,37.6181551,127.0216628,,https://www.mcdonalds.co.kr/
파리바게뜨 카페수유역점,"카페,디저트>베이커리",서울특별시 강북구 도봉로 337 (수유동),37.6379808,127.0252662,,http://www.paris.co.kr/
스타벅스 수유역점,"카페,디저트>카페",서울특별시 강북구 도봉로 342 (번동),37.6380639,127.0260631,,http://www.starbucks.co.kr/
옥류헌릴렉스,"음식점>카페,디저트",서울특별시 강북구 삼양로181길 142 옥류헌릴렉스,37.6699262,127.0079750,,https://www.instagram.com/cafe_relax._
하이그라운드제빵소,"카페,디저트>베이커리",서울특별시 강북구 삼양로181길 161,37.6702903,127.0073880,,https://www.instagram.com/highground_bakery_official/
스타벅스 강북구청사거리점,"카페,디저트>카페",서울특별시 강북구 도봉로 365 (수유동),37.6399878,127.0274331,,http://www.starbucks.co.kr/
신사랑매운갈비찜 수유본점,음식점>한식,서울특별시 강북구 노해로8가길 14,37.6387220,127.0237051,,https://blog.naver.com/uee9649
미아회관,음식점>한식,서울특별시 강북구 도봉로10가길 15 1층,37.6130161,127.0312996,,https://www.instagram.com/mia_hoegwan_the_first?igsh=MWFueWNkcXlndzg3NA%3D%3D&utm_source=qr
엘림들깨수제비칼국수,음식점>한식,서울특별시 강북구 삼각산로 67,37.6400133,127.0118179,,https://blog.naver.com/bdtsyr
명인갈비 미아점,"한식>육류,고기요리",서울특별시 강북구 솔샘로 327 테마빌딩 1층 101호 명인갈비 미아점,37.6173484,127.0285916,,https://app.catchtable.co.kr/ct/shop/migbmia
수유곱창 황주집 본점,"한식>곱창,막창,양",서울특별시 강북구 도봉로 372 단충,37.6401750,127.0282810,,https://www.instagram.com/
쿠시 수유본점,술집>이자카야,서울특별시 강북구 노해로8길 9-20 1층 쿠시,37.6386786,127.0235759,,http://instagram.com/koosi0039
짚신매운갈비찜 미아본점,"한식>육류,고기요리",서울특별시 강북구 월계로7나길 30-9 1층,37.6128385,127.0319616,,http://www.zipsinfood.co.kr/
대동집 미아사거리점,술집>요리주점,서울특별시 강북구 도봉로6길 8 1층,37.6125448,127.0306899,,https://blog.naver.com/hyowoney0323
계원 수유점,술집>이자카야,서울특별시 강북구 한천로143길 29 동방플러스빌 1층 계원,37.6405741,127.0236153,,https://www.instagram.com/gyewon1
당나발포차 수유역점,술집>요리주점,서울특별시 강북구 도봉로87길 15 1층,37.6385172,127.0247411,,https://blog.naver.com/dangnabal_official
이설함흥냉면 수유본점,한식>냉면,서울특별시 강북구 4.19로 42 이설함흥냉면 수유본점,37.6473378,127.0096772,,http://m.smartstore.naver.com/gt3
수유골목냉면 본점,한식>냉면,서울특별시 강북구 솔매로45길 92,37.6300292,127.0240125,,https://golmokicenoodle.com/
낙지일번지 수유본점,한식>낙지요리,서울특별시 강북구 도봉로89길 10,37.6392031,127.0260760,,https://blog.naver.com/nakji1bunji
호조참치,한식>생선회,서울특별시 강북구 한천로 1062,37.6415762,127.0249424,,
제일분식,분식>떡볶이,서울특별시 강북구 숭인로 65-3,37.6126969,127.0289893,,
맛밥김밥전문점 삼양점,분식>김밥,서울특별시 강북구 솔샘로 254 삼양아케이트,37.6193949,127.0208540,,
석관동떡볶이 수유점,음식점>분식,서울특별시 강북구 도봉로87길 14 1층,37.6385280,127.0249658,,http://www.sukdduck.co.kr/
썬데이스낵,분식>종합분식,서울특별시 강북구 도봉로10길 54 남상빌딩 1층,37.6150353,127.0309388,,https://smartstore.naver.com/sundaysnack
이삭토스트 수유역점,분식>토스트,서울특별시 강북구 오패산로 413,37.6374221,127.0262746,,https://smartorder.beaverworksinc.com/brand/901216
핫브레드 수유역점,"카페,디저트>베이커리",서울특별시 강북구 도봉로 338,37.6377452,127.0253569,,
파리바게뜨 까페미아역점,"카페,디저트>베이커리",서울특별시 강북구 도봉로 178 파리바게뜨,37.6246338,127.0271305,,https://www.paris.co.kr/
헤미 419카페,음식점>브런치,서울특별시 강북구 4.19로 70 헤미419카페,37.6459658,127.0068321,,https://www.instagram.com/hemmi_cafe
암파스타레 롯데 미아,음식점>양식,서울특별시 강북구 도봉로 62 롯데백화점 B2층,37.6142338,127.0304022,,
마메 수유,"음식점>카페,디저트",서울특별시 강북구 덕릉로 134 2층 마메,37.6349053,127.0286301,,https://www.instagram.com/ma.me.hi
미즐카페엠,"음식점>카페,디저트",서울특별시 강북구 4.19로 107,37.6436116,127.0037966,,https://www.instagram.com/mizzlecafem
솥내음 마곡 발산역점,음식점>한식,서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 A동 1층 103호,37.5600644,126.8341474,,
안스베이커리 롯데백화점 김포공항점,"카페,디저트>베이커리",서울특별시 강서구 하늘길 77 롯데백화점 김포공항점 GF,37.5630250,126.8036235,,https://www.instagram.com/ansbakery_/
옥소반 마곡본점,음식점>일식>샤브샤브,"서울특별시 강서구 마곡중앙6로 45 1층 123호, 124호",37.5605395,126.8326904,,https://app.catchtable.co.kr/ct/shop/oksoban?type=DINING
맥도날드 등촌DT점,양식>햄버거,서울특별시 강서구 양천로 546,37.5582672,126.8598141,,https://www.mcdonalds.co.kr/
긴꼬리초밥마곡점,"음식점>일식>초밥,롤",서울특별시 강서구 공항대로 269-15 2층 201호,37.5596114,126.8372423,,
영풍문고 김포공항롯데점,"쇼핑,유통>서점",서울특별시 강서구 하늘길 38 롯데백화점 김포공항점 MF,37.5631048,126.8033587,,https://www.ypbooks.co.kr/
폴 바셋 롯데백화점 김포공항점,"카페,디저트>카페",서울특별시 강서구 하늘길 38 롯데백화점 김포공항점 GF층,37.5631559,126.8031319,,https://www.baristapaulbassett.co.kr/Index.pb
베이글리스트,"음식점>카페,디저트",서울특별시 강서구 마곡동로 55 마커스빌딩 102호,37.5598697,126.8331102,,https://noti.tabling.co.kr/link/point?path=restaurant_details&restaurant_idx=9066
빵쌤 마곡점,"음식점>카페,디저트>베이커리","서울특별시 강서구 마곡중앙로 59-5 마곡595빌딩 1, 2층",37.5589451,126.8259104,,http://www.0ssaem.com/
화곡영양족발,"한식>족발,보쌈",서울특별시 강서구 초록마을로2길 48 1층 화곡영양족발,37.5432636,126.8434604,,https://hwagok-jokbal.wywh.co.kr/
돈구멍 마곡본점,"한식>육류,고기요리",서울특별시 강서구 마곡동로 62 마곡사이언스타워 2층스타벅스옆/201호 돈구멍 마곡본점,37.5605971,126.8338655,,https://catchtable.co.kr/dongumung_magok
산청숯불가든 마곡,"한식>육류,고기요리",서울특별시 강서구 마곡중앙8로 85 1층 102~108호,37.5610828,126.8369018,,https://www.instagram.com/sancheongin/
옥된장 마곡점,음식점>한식,서울특별시 강서구 마곡동로 62,37.5604676,126.8337841,,https://youtube.com/@옥된장/featured
용용선생 마곡점,음식점>술집>요리주점,서울특별시 강서구 마곡중앙6로 69 1층,37.5602822,126.8350467,,https://www.instagram.com/yongyong_makok/
광선집 마곡 발산역 직영점,"한식>육류,고기요리",서울특별시 강서구 강서로 415 1층 101호,37.5626000,126.8389386,,https://app.catchtable.co.kr/ct/shop/gwangseonjib.MG
취링취링 화곡역 본점,술집>요리주점,서울특별시 강서구 화곡로 127 나동 1층,37.5406509,126.8359733,,https://faview.io/vr/1955
모로미 강서구청점,음식점>일식당,서울특별시 강서구 화곡로58길 22-3 2층,37.5527432,126.8522221,,https://www.instagram.com/moromi_gangseo
쭈박사 마곡점,한식>주꾸미요리,서울특별시 강서구 마곡동로10길 23 대방디엠시티2차오피스텔 1층 130호 쭈박사 마곡점,37.5689322,126.8391317,,https://www.instagram.com/jjudoctor/
서울 오마카세 우미마토 마곡본점,음식점>일식>일식당,서울특별시 강서구 공항대로 219 센테니아 114호,37.5594735,126.8323103,,https://catchtable.co.kr/umimato
상무초밥 등촌점,"음식점>일식>초밥,롤","서울특별시 강서구 공항대로 525 1층 102-1호, 102-2호",37.5513131,126.8649242,,http://sangmusushi.kr/
이조면옥,한식>냉면,서울특별시 강서구 양천로 353,37.5683668,126.8421829,,
막회집,한식>생선회,서울특별시 강서구 마곡서로 152 두산더랜드타워 B동 112호113호,37.5676701,126.8259797,,https://app.catchtable.co.kr/ct/shop/makhoejip
이현우스시,"음식점>일식>초밥,롤",서울특별시 강서구 강서로33길 26,37.5418018,126.8383858,,
로봇김밥 김포공항점,음식점>분식,서울특별시 강서구 하늘길 111 김포공항 국내선청사 4층 식당가 로봇김밥,37.5598962,126.8040545,,
오공김밥 등촌점,음식점>분식,서울특별시 강서구 공항대로41길 76 . 1층 104호,37.5610321,126.8468187,,https://www.50gimbab.co.kr
화곡미담분식 까치산본점,분식>종합분식,서울특별시 강서구 강서로7길 15 화곡미담분식,37.5295334,126.8468994,,https://www.instagram.com/midamfriends
이삭토스트 까치산역점,분식>토스트,서울특별시 강서구 강서로 47 형진빌딩 1층 102호 이삭토스트,37.5319446,126.8463822,,https://smartorder.beaverworksinc.com/brand/901216
플레이보6 익스프레스 김포공항점,"음식점>카페,디저트",서울특별시 강서구 하늘길 112 김포공항 국내선 3층,37.5588174,126.8028479,,
타르데마 베이커리 방화,"카페,디저트>베이커리",서울특별시 강서구 양천로26길 65 1층,37.5722340,126.8202344,,https://smartstore.naver.com/tardemah/products/12737787522
어나더사이드,"음식점>카페,디저트",서울특별시 강서구 강서로 318 1층 카페 어나더사이드,37.5541156,126.8370703,,https://www.instagram.com/anotherside_coffee/
파스타인카페,"이탈리아음식>스파게티,파스타전문",서울특별시 강서구 마곡중앙2로 15 테크노타워2 201호,37.5580725,126.8286803,,https://www.instagram.com/pasta_in_cafe/
에머이 마곡나루점,음식점>베트남음식,서울특별시 강서구 마곡서로 152 두산더랜드타워 B동 1층 108-109호,37.5677262,126.8261182,,https://www.instagram.com/emoi__magoknaru
로마옥 마곡,음식점>양식,서울특별시 강서구 마곡중앙로 136 LG아트센터서울 3층 로마옥,37.5648409,126.8292275,,https://litt.ly/romaok
쟝블랑제리 낙성대본점,"카페,디저트>베이커리",서울특별시 관악구 낙성대역길 8,37.4771360,126.9619864,,https://smartstore.naver.com/jeanboulangerie
쥬벤쿠바,"음식점>스테이크,립",서울특별시 관악구 관악로14나길 10 1층,37.4777022,126.9573528,,https://www.instagram.com/juvencuba
동경산책 서울대입구점,음식점>일식>일식당,서울특별시 관악구 관악로14길 30 2층,37.4789029,126.9542000,,http://www.instagram.com/d.k.sancheck
백소정 신림점,음식점>일식>일식당,서울특별시 관악구 신원로 38 2층,37.4819942,126.9293993,,https://baeksojeong.com/
쭈앤쭈 서울대본점,한식>주꾸미요리,서울특별시 관악구 관악로14길 11 1층 쭈앤쭈 서울대본점,37.4792455,126.9532191,,https://www.instagram.com/jjunjju.kr
영풍문고 신림점,"쇼핑,유통>서점",서울특별시 관악구 신림로 330 신림타임스트림 7층,37.4838598,126.9302425,,https://www.ypbooks.co.kr/
스타벅스 신림타임스트림점,"카페,디저트>카페",서울특별시 관악구 신림로 330 타임스트림 1층,37.4840710,126.9302583,,http://www.starbucks.co.kr/
스타벅스 서울대입구역점,"카페,디저트>카페",서울특별시 관악구 남부순환로 1812 (봉천동),37.4812073,126.9514006,,http://www.starbucks.co.kr/
스타벅스 서울대역점,"카페,디저트>카페",서울특별시 관악구 남부순환로 1817 (봉천동),37.4816626,126.9520164,,http://www.starbucks.co.kr/
부뚜막 신림본점,"한식>육류,고기요리","서울특별시 관악구 남부순환로 1597-15 1층, 부뚜막",37.4847139,126.9275761,,
월화고기 보라매점,"한식>육류,고기요리",서울특별시 관악구 보라매로3길 16,37.4916407,126.9263015,,https://blog.naver.com/wolhwa_gogi
강강술래 신림본동점,"한식>육류,고기요리",서울특별시 관악구 남부순환로 1660,37.4846464,126.9350249,,https://sullai.com/
유가네닭갈비 신림점,한식>닭갈비,서울특별시 관악구 남부순환로176길 9 제일빌딩,37.4835458,126.9284710,,https://www.instagram.com/yoogane_sillim
계탄언니 사당본점,한식>닭갈비,서울특별시 관악구 과천대로 951 지하 1층,37.4755188,126.9813088,,https://luckygirls.co.kr/
삐딱,술집>요리주점,서울특별시 관악구 남부순환로230길 28 2층,37.4788777,126.9554057,,https://www.instagram.com/bbiddak_seoul
뇌산마을 신림직영점,술집>요리주점,서울특별시 관악구 남부순환로 1600-9 1층 뇌산마을,37.4838134,126.9289921,,https://app.catchtable.co.kr/ct/shop/nsvillagesl
하와이조개 신림본점,한식>조개요리,서울특별시 관악구 신림로59길 15-6 1층 하와이조개 신림본점,37.4828380,126.9289721,,http://하와이조개.com/
쑥고개,술집>요리주점,서울특별시 관악구 관악로14길 16 지하1층,37.4790878,126.9534117,,https://instagram.com/ssukgogae_seoul?utm_medium=copy_link
준코 신림2호점,술집>요리주점,"서울특별시 관악구 신림로59길 14 지하1층, 2층",37.4832830,126.9287734,,https://www.facebook.com/juncomt1997
상무초밥 서울대입구역점,"음식점>일식>초밥,롤","서울특별시 관악구 관악로 168 1층 109, 110호",37.4801768,126.9530996,,
속초오징어어시장 서울대입구역점,한식>생선회,서울특별시 관악구 남부순환로224길 13 1층,37.4801978,126.9534015,,
은행골 본점신관,"음식점>일식>초밥,롤",서울특별시 관악구 조원로 10-1,37.4833197,126.9035064,,
서울초밥,"음식점>일식>초밥,롤",서울특별시 관악구 신림동7길 15 1층,37.4863359,126.9263977,,https://www.instagram.com/
오공김밥 봉천점,음식점>분식,서울특별시 관악구 은천로 101 1층,37.4870654,126.9465624,,https://www.50gimbab.co.kr
오월의김밥,분식>김밥,서울특별시 관악구 봉천로 605 102호,37.4760838,126.9646138,,
싸다김밥 사당역점,분식>김밥,서울특별시 관악구 남현길 7 1층102호,37.4761717,126.9776738,,
싸다김밥 낙성대역점,음식점>분식,서울특별시 관악구 남부순환로 1939 1층 싸다김밥 낙성대역점,37.4768276,126.9648464,,https://ssadagb.com
명랑핫도그 신림점,양식>핫도그,서울특별시 관악구 남부순환로 1590 1층 명랑핫도그,37.4837310,126.9272956,,https://myungranghotdog.com/
쟝블랑제리 롯데백화점관악점,"카페,디저트>베이커리",서울특별시 관악구 봉천로 209,37.4903811,126.9247798,,
몽마베이커리,"카페,디저트>베이커리",서울특별시 관악구 남부순환로248길 20,37.4751720,126.9655150,,
파리바게뜨 신림남부점,"카페,디저트>베이커리",서울특별시 관악구 호암로 602,37.4708534,126.9337927,,https://www.paris.co.kr/
파리바게뜨 서울대입구역점,"카페,디저트>베이커리",서울특별시 관악구 봉천로 475,37.4823618,126.9530876,,https://www.paris.co.kr/
스테이크하우스 로아,음식점>양식,서울특별시 관악구 봉천로62길 7 2층,37.4776631,126.9589582,,https://app.catchtable.co.kr/ct/shop/steak_house_roah
사생활,음식점>패밀리레스토랑,서울특별시 관악구 신사로14길 19 지하1층,37.4878028,126.9165271,,https://www.instagram.com/theprivatelife__sillim/
모힝 비스트로,음식점>이탈리아음식,서울특별시 관악구 남부순환로226길 36 2층,37.4790924,126.9535237,,https://blog.naver.com/mohing2012
작은따옴표 도림천점,"음식점>카페,디저트",서울특별시 관악구 관천로 36-1 2층 작은따옴표 도림천점,37.4832052,126.9275859,,https://app.catchtable.co.kr/ct/shop/singlemarks
카페달달스콘,"음식점>카페,디저트",서울특별시 관악구 조원로 129 1층,37.4854993,126.9166491,,
로니로티 건대점,음식점>이탈리아음식,서울특별시 광진구 아차산로 225 단산화빌딩,37.5409583,127.0684707,,https://blog.naver.com/lottiekun
매운향솥,중식>중식당,서울특별시 광진구 동일로18길 61 1층,37.5391111,127.0662637,,http://youtu.be/gMnLMBdkTjg
오마카세 오사이초밥 건대본점,"음식점>일식>초밥,롤",서울특별시 광진구 군자로 14 1층,37.5446716,127.0715485,,http://sushi542.co.kr/
고베규카츠 건대점,음식점>일식>돈가스,서울특별시 광진구 아차산로33길 64,37.5429844,127.0711922,,https://www.instagram.com/kobekyu
라화쿵부 건대점,음식점>중식당,서울특별시 광진구 아차산로30길 42 1층,37.5390545,127.0669690,,https://blog.naver.com/lhkungfu
투또톤토,"음식점>카페,디저트",서울특별시 광진구 능동로 125 1층 투또톤토,37.5421290,127.0714334,,https://app.catchtable.co.kr/ct/shop/tuttotonto?from=share&type=WAITING
스타벅스 군자역점,"카페,디저트>카페",서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,37.5570260,127.0791098,,http://www.starbucks.co.kr/
스타벅스 아차산역점,"카페,디저트>카페",서울특별시 광진구 천호대로 676 (구의동),37.5506211,127.0900320,,http://www.starbucks.co.kr/
파리바게뜨 대공원점,"카페,디저트>베이커리",서울특별시 광진구 천호대로 659 아차산웨딩홀,37.5523733,127.0898269,,https://www.paris.co.kr/
크리스피크림도넛 건대스타시티점,"카페,디저트>도넛",서울특별시 광진구 아차산로 262 더샵스타시티,37.5385627,127.0730552,,https://www.lotteeatz.com/eatzMain
성수완당,음식점>한식,서울특별시 광진구 아차산로26길 13 1층,37.5406813,127.0661688,,https://www.instagram.com/seongsu.wandang
숙성부심 군자본점,한식>돼지고기구이,서울특별시 광진구 능동로 267 1층,37.5539087,127.0774430,,https://www.instagram.com/sooksungboosim?igsh=MWU1aGZyeTJscjVhOQ==
최원석의돼지한판&amp;화식한우 구의점,"한식>육류,고기요리",서울특별시 광진구 아차산로 478,37.5403894,127.0949628,,http://www.instagram.com/pig_k.o
화기애애 본점,"한식>육류,고기요리",서울특별시 광진구 아차산로31길 16,37.5418215,127.0696696,,https://app.catchtable.co.kr/ct/shop/hkee_ku
